car_brand;body_type;condition;num_seats;num_doors;mileage;first_reg;power_kW;transmission;displacement;fuel;fuel_eff;color;seller;brand;model;model_details;price;year_built;num_owners;co2_emission_gpkm;fuel_eff_combi_lpkm;fuel_eff_city_lpkm;fuel_eff_highway_lpkm
skoda;Smallcar;Demonstration_cars;5;5;6892;02/2021;44;Manual;999.0;Super95;4,7 l/100 km (komb.)5,7 l/100 km (innerorts)4,1 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;1.0 MPI Clever Klimaa., Sitzhzg., PDC, Freisprech.;15330;2021;1;106;4;5;4
skoda;Limousine;One_day_registered_cars;5;5;10;08/2021;70;Automatic;999.0;Super95_PF;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;1.0 TSI Style DSG Rückfahrkamera Klima;19950;2020;1;109;4;5;3
skoda;Limousine;Demonstration_cars;5;5;3140;10/2021;59;Manual;999.0;Super95;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;Ambition 1.0 MPI Klimaanlage  Sitzh. LED;19970;2021;1;104;4;5;3
skoda;Limousine;Used_cars;5;5;20;04/2021;85;Manual;999.0;Super95;5,4 l/100 km (komb.)6,3 l/100 km (innerorts)4,1 l/100 km (außerorts);Silver;Retailer;Skoda ;Scala;1.0 TSI Cool-Plus;17790;2021;1;123;5;6;4
skoda;Limousine;Used_cars;5;5;6345;03/2021;70;Manual;999.0;Super95;4,6 l/100 km (komb.)5,5 l/100 km (innerorts)3,9 l/100 km (außerorts);Red;Retailer;Skoda ;Fabia;1.0 70 kW TSI Ambition;16990;2021;1;106;4;5;3
skoda;Limousine;Annual_cars;5;5;18018;06/2021;70;Manual;999.0;Super95_E10;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;1.0 TSI Klimaautom. Android/Apple SHZ;17919;2021;1;105;4;5;3
skoda;Limousine;Used_cars;5;5;4100;03/2021;70;Manual;999.0;Super95_91;4,6 l/100 km (komb.)5,5 l/100 km (innerorts)4,1 l/100 km (außerorts);Blue;Retailer;Skoda ;Fabia;AZM Style Edt.: SOFORT+ NAVIGATIONSFUNKTION*+ W...;15990;2021;1;106;4;5;4
skoda;Limousine;Used_cars;5;4;6;09/2021;59;Manual;999.0;Super95;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;IV 1,0 MPI Ambition Neues Mod. Klima DAB;17470;2021;1;104;4;5;3
skoda;Limousine;One_day_registered_cars;5;5;20;05/2021;70;Automatic;999.0;Super95_PF;4,7 l/100 km (komb.)5,7 l/100 km (innerorts)4,1 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;Style 1,0 TSI DSG, Rückfahrkamera, PDC;19999;2021;1;108;4;5;4
skoda;Limousine;Annual_cars;5;5;15687;06/2021;70;Manual;999.0;Super95_PF;4,6 l/100 km (komb.)5,8 l/100 km (innerorts)3,9 l/100 km (außerorts);Black;Retailer;Skoda ;Fabia;1.0TSI NAVI LED PANO PDC&KAMERA Ambition;19990;2021;1;105;4;5;3
skoda;Limousine;Used_cars;5;5;10;12/2021;59;Manual;999.0;Super95_91;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;neues Modell! Ambition 1.0 MPI 80 PS-FrontAssis...;19100;2021;1;104;4;5;3
skoda;Smallcar;Demonstration_cars;5;5;7477;02/2021;81;Manual;999.0;Super95;4,7 l/100 km (komb.)5,6 l/100 km (innerorts)4,2 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;Monte Carlo 1.0 TSI LED Navi Panorama LED-Tagfahrl;19290;2020;1;107;4;5;4
skoda;Limousine;Used_cars;5;5;67;11/2021;59;Manual;999.0;Super95_91;4,5 l/100 km (komb.)5,6 l/100 km (innerorts)3,9 l/100 km (außerorts);White;Retailer;Skoda ;Fabia;IV 1,0 MPI Ambition Neues Mod. Klima DAB Link LED;17470;2021;1;104;4;5;3
skoda;Limousine;Annual_cars;5;5;23328;06/2021;44;Manual;999.0;Super95;4,9 l/100 km (komb.)6,2 l/100 km (innerorts)4,2 l/100 km (außerorts);Grey;Retailer;Skoda ;Fabia;1.0 Active Cool & Sound Sitzheizung PDC;12990;2021;1;126;4;6;4
